Subject,Sentence_Type,Adjective,Polarity,Expected_response,Response,Accuracy,RT,MaxDeviation,MaxDeviation.Time,MaxDeviation.Time.Norm,MaxDeviationBorder,MaxDeviationBorder.Time,MaxDeviationBorder.Time.Norm,MaxRatio,MaxLogRatio,MaxRatio.Time,MaxRatio.Time.Norm,MaxDifference,MaxDifference.Time,MaxDifference.Time.Norm,AccPeak,AccPeak.Time,AccPeak.Time.Norm,Int.Ratio.AccPeak,Int.LogRatio.AccPeak,Int.Difference.AccPeak,Int.X.AccPeak,Local.Maxima.Acc,Len.Local.Maxima,Delay,Ratio.Acc
0,practice,null,null,null,true,null,1737,0.4590966217455928,1129.05,65,1.0936936936936936,1076.94,62,0.7210400710999306,-0.32706056612651696,0,0,-0.400051417087415,1024.8300000000002,59,9.296218590427834e-05,1233.27,71,46.5768832004423,-36.687787701526645,-33.616507068792615,1.8010026169026192,"[[8.240726211777861e-05, 64], [8.534490444519341e-05, 69], [9.296218590427834e-05, 71]]",3,963,-5.045003146303353
0,practice,null,null,null,true,null,1139,0.22443123749274307,501.16,44,0.9963963963963964,318.92,28,0.7272253622695835,-0.31851886011870467,296.14,26,-0.3988317302829909,296.14,26,0.00020930966780143744,569.5,50,30.9615158898668,-25.96879116668059,-26.56668416385586,3.6729036465036473,"[[0.000192216230112788, 47], [0.00020930966780143744, 50]]",2,297,-1.586127880178479
0,practice,null,null,null,true,null,4948,0.13692336466224722,0,0,0.8990990990990991,4007.8799999999997,81,0.7044706329776514,-0.3503086334268606,0,0,-0.4584096880176036,0,0,3.0603206624940416e-05,4304.759999999999,87,58.78444507122082,-37.599320230938574,-44.08541539360674,11.161371085371076,"[[5.403126234877451e-05, 83], [3.0603206624940416e-05, 87]]",2,4019,-3.6159380365361753
0,practice,null,null,null,true,null,1021,0.185208201935363,735.1200000000001,72,1.0324324324324325,479.87000000000006,47,0.7262077616918662,-0.3199191319677683,0,0,-0.38534110300319435,0,0,0.00024025383733991432,571.76,56,38.72228297454561,-21.66745668252939,-24.66548071060413,0.49921965601965623,"[[0.0002973443714934112, 52], [0.00024025383733991432, 56]]",2,480,-1.7082790068393234
0,practice,null,null,null,true,null,1485,0.15059996162302244,816.75,55,0.8954954954954955,831.6,56,0.7083630656311968,-0.34479851216390717,816.75,55,-0.4563506430307953,816.75,55,0.0001646376506084692,861.3,58,41.028359467697726,-20.081379624368964,-26.551585643880973,6.131824324324318,"[[0.0001646376506084692, 58]]",1,826,-0.4493533617108191
0,practice,null,null,null,true,null,2113,0.13604297369049156,2113,100,0.9351351351351351,1436.84,68,0.7180537469983247,-0.3312108561918964,0,0,-0.43137928709951034,0,0,0.0001934412890500431,1500.23,71,50.621130859089796,-24.075336257178964,-31.123445451421805,4.944142742742749,"[[0.0001934412890500431, 71]]",1,1449,-0.7895554966451589
0,EI,B/S,P,true,true,1,2133,0.21256195168281158,1770.3899999999999,83,0.9243243243243243,0,0,0.7036583913724478,-0.3514622801186656,0,0,-0.44862803219021363,0,0,0.00019418539190045267,895.8599999999999,42,29.37250459384286,-15.034248494756381,-19.168577338578167,3.538056118084254,"[[0.00019418539190045267, 42]]",1,853,-0.5908123245000079
0,EI,H/C,N,false,false,1,1518,1.0738548188646642,743.8199999999999,49,1.7711711711711713,743.8199999999999,49,7.080000244689211,1.9572739422662508,743.8199999999999,49,1.5364083052085098,743.8199999999999,49,0.00032566402790381644,804.54,53,132.67579004036344,36.436295895545996,35.23319987676496,10.180958858858858,"[[0.00032566402790381644, 53]]",1,509,1.6090104094919935
0,EI,H/C,P,false,false,1,1847,0.8148579041728105,1015.8499999999999,55,1.518918918918919,1015.8499999999999,55,13.087911770251885,2.5716890385671833,1292.8999999999999,70,1.1959824009991542,1015.8499999999999,55,0.0001629402560220289,1145.1399999999999,62,128.26092451616802,38.054557277778734,38.1652450830291,10.03936407836408,"[[0.0001629402560220289, 62]]",1,740,1.2072158420987515
0,EI,H/C,P,false,true,0,1355,0.18949901482301038,758.8000000000001,56,0.9927927927927928,474.25,35,0.7395011140240192,-0.301779490376678,0,0,-0.38977089322309877,0,0,0.00025558298866124144,542.0,40,29.12900791312549,-12.764847052318498,-16.210262497743063,0.7634009009009017,"[[0.00025558298866124144, 40]]",1,474,-0.7619393570573718
0,EI,1,P,true,false,0,1056,0.45030981559418853,422.40000000000003,40,1.3423423423423424,422.40000000000003,40,2.148270358185306,0.7646630338032321,432.96000000000004,41,0.8099013220158022,422.40000000000003,40,0.00039650962946417395,496.32000000000005,47,75.38674941723467,21.32196996956716,24.30350707198213,4.547369624169622,"[[0.0002268539200357386, 43], [0.00039650962946417395, 47]]",2,218,0.617244912854952
