Subject,Experiment,File,Gender,Age,Total.time,Points,Clicker,Handeness,Language,Mobile,Normalized_button,Portrait,Strategy,Touch,User-agent,Window
0,plurals,101117269-1431080388.json,f,22,16.433333333333334,"[138, 470, 57]",mouse,right,English,False,"{'y': 0.1710060404082483, 'x': 0.4995537421904883}",False,None,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1366
2,plurals,128372267-1431083184.json,m,30,28.616666666666667,"[146, 344, 46]",mouse,right,English,False,"{'y': 0.17044657470189384, 'x': 0.4997313272434175}",False,,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1600
3,plurals,141425-1431082118.json,m,36,18.733333333333334,"[84, 256, 9]",mouse,right,english,False,"{'y': 0.17327989311957248, 'x': 0.4992515198729111}",False,"it would be nicer to have the start and true/false buttons closer, also a % complete bar would be great to see.",False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36",1366
5,plurals,16851723-1431079860.json,f,40,22.966666666666665,"[85, 277, 28]",mouse,right,English,False,"{'y': 0.17148190317251574, 'x': 0.5001114127407262}",False,"No strategy, but I tried to mark true any that could be true depending on perspective - 'two triangles are below exactly eight squares', 'two triangles are below exactly four squares', 'two triangles are below exactly two squares', and 'two triangles are below exactly one square' can all be true in that there are two triangles below eight total squares, each of two triangles is below four squares, two triangles are directly below two squares, and each of two triangles is directly below one square.",True,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; rv:11.0) like Gecko,1210
7,plurals,199104274-1431080851.json,f,42,26.283333333333335,"[104, 329, 2]",mouse,right,English,False,"{'y': 0.17044657470189384, 'x': 0.4997313272434175}",False,fun experiment!,False,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1600
8,plurals,205607968-1431080551.json,f,44,17.65,"[69, 250, 25]",mouse,right,english,False,"{'y': 0.16919739696312364, 'x': 0.4998594672246338}",False,have a nice day,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1024
9,plurals,212157940-1431081460.json,m,33,45.93333333333333,"[144, 424, 3]",mouse,left,english,False,"{'y': 0.17034181735729267, 'x': 0.5001564945226917}",False,,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1600
10,plurals,218726522-1431080502.json,m,40,19.5,"[104, 183, 27]",trackpad,right,English,False,"{'y': 0.16919739696312364, 'x': 0.4998594672246338}",False,,False,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1366
12,plurals,238216414-1431080211.json,m,27,26.416666666666668,"[106, 214, 31]",trackpad,right,English,False,"{'y': 0.17063132768129063, 'x': 0.49973522959376654}",False,no strategy,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1425
13,plurals,238306457-1431090869.json,f,42,24.983333333333334,"[57, 151, 21]",mouse,right,English,False,"{'y': 0.17463193657984144, 'x': 0.5000517651930841}",False,,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1440
14,plurals,254500162-1431080575.json,m,47,17.1,"[230, 523, 42]",mouse,right,English,False,"{'y': 0.1721728563833827, 'x': 0.49986068542769574}",False,No strategy used.,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1280
16,plurals,271615747-1431079647.json,m,23,18.516666666666666,"[87, 204, 25]",mouse,right,english,False,"{'y': 0.16919739696312364, 'x': 0.4998594672246338}",False,,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1366
18,plurals,305132166-1431081660.json,f,34,15.566666666666666,"[79, 320, 3]",mouse,right,English,False,"{'y': 0.17327989311957248, 'x': 0.4992515198729111}",False,No strategy,True,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2394.3 Safari/537.36",1366
19,plurals,308361176-1431082156.json,m,32,21.466666666666665,"[110, 235, 38]",mouse,right,English,False,"{'y': 0.17184, 'x': 0.4998741505159829}",False,,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1920
20,plurals,31216220-1431083599.json,m,42,17.3,"[86, 261, 41]",mouse,left,English,False,"{'y': 0.17020545591974162, 'x': 0.5004429819010252}",False,no,False,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.65 Safari/537.36",1024
21,plurals,312919585-1431081470.json,f,47,18.7,"[40, 126, 14]",trackpad,right,English,False,"{'y': 0.16919739696312364, 'x': 0.4998594672246338}",False,None.,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1366
22,plurals,320479433-1431081558.json,f,39,18.6,"[139, 307, 48]",mouse,right,english,False,"{'y': 0.16919739696312364, 'x': 0.4998594672246338}",False,i was a bit unsure on the connection questions because some seemed like they could be answered either way such as if two triangles are connected to exactly 4 squares. the lines connect one triangle to four squares. i answered true but the second triangle wasn't connected to anything so technically false would have been acurate as well.,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1366
25,plurals,334509548-1431079517.json,f,42,19.65,"[145, 296, 55]",mouse,right,English,False,"{'y': 0.17044657470189384, 'x': 0.4997313272434175}",False,"I changed my mind about whether the circle was exactly beneath one square. I felt that if there were four squares above the circle, then the answer could be that is beneath exactly four squares and one square. At first, I thought that it would have to be precisely four squares. The strategy that I employed was to look at the location of the image,above or below, and quickly see if I could match it to the sentence.",False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1600
29,plurals,347732010-1431083629.json,m,44,19.35,"[71, 160, 2]",mouse,right,english,False,"{'y': 0.17063132768129063, 'x': 0.49973522959376654}",False,,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1344
31,plurals,36728036-1431080244.json,f,67,23.716666666666665,"[185, 447, 86]",mouse,right,English,False,"{'y': 0.17160401622349628, 'x': 0.5004761793448763}",False,"No strategy, I just tried to answer right, but miss some I know.",True,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; .NET4.0C; .NET4.0E; yie11; rv:11.0) like Gecko,1600
33,plurals,374623710-1431081352.json,m,38,25.283333333333335,"[212, 473, 5]",mouse,right,English,False,"{'y': 0.1723122238586156, 'x': 0.49990502522108016}",False,Could you at least include a progress meter?,False,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1928
34,plurals,376841147-1431079072.json,f,24,15.233333333333333,"[143, 339, 18]",mouse,right,english,False,"{'y': 0.16979612383589227, 'x': 0.5002666666666666}",False,"it was really confusing when it came to connection. Like there are exactly 2 squares connected to 4 circles, and when there were multiple like 2 circles are above 8 squares, it all became confusing and I didn't know what the correct answer was. ",False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36",1280
